2018-11-19 16:33:37,673 - StartUp.py - 8 : --------------------开始--------------------
2018-11-19 16:33:46,215 - pipelines.py - 126 : open_sina7x24_spider
2018-11-19 16:34:20,629 - MongoDBStudy.py - 36 : 数据库已存在！
2018-11-19 16:34:20,632 - MongoDBStudy.py - 51 : 集合已存在！
2018-11-19 16:34:20,650 - MongoDBStudy.py - 88 : 数据总量：264
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:00:50', 'info': '原油主力期货开盘跌近4%， 燃油跌超2%；焦炭、塑料、聚丙烯、PVC、沪铅、沪锡涨超1%。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:01:18', 'info': '富时中国A50指数期货盘初涨0.6%。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:02:02', 'info': '【 北巴传媒：将继续支持和关注银隆下一步发展 】北巴传媒11月15日在互动平台回复投资者提问时称，公司作为银隆新能源公司的小股东之一，将会继续支持和关注银隆的下一步发展。据北巴传媒此前透露，公司持有银隆新能源2.9%的股份。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:03:19', 'info': '原油主力期货开盘跌近4％， 燃油跌超2％；焦炭、塑料、聚丙烯、PVC、沪铅、沪锡涨超1％。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:05:05', 'info': '【海南：邀请民营企业以各种形式参与海南自贸区和中国特色自贸港重点项目建设】海南省发改委主任符宣朝14日透露，海南省发改委十项举措支持民营企业发展，包括放宽市场准入方面，制定了市场准入负面清单，对负面清单以外的行业、领域、业务等，民营企业等各类市场主体依法平等进入；定期、常态向民营企业发布推介项目清单，重点在基础设施补短板领域筛选符合条件的项目进行公开推介，邀请民营企业以各种形式参与海南自贸区和中国特色自贸港重点项目建设。（海南日报）'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:09:40', 'info': '【万魔声学将借壳共达电声实现上市 交易价格为34.1亿元】根据交易所公告，深圳上市企业共达电声拟通过向万魔声学全体股东非公开发行股份的方式收购万魔声学100%股权，从而对万魔声学实施吸收合并。共达电声拟以每股5.42元人民币向万魔声学的29个股东发行6.29亿股股份。小米创始人雷军是People Better Limited的法人代表，People Better Limited持有万魔声学12.26%股份 。万魔声学客户包括小米和华为等。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:10:20', 'info': '【Facebook内部士气大降，仅52%的员工对未来保持乐观】据华尔街日报报道，Facebook约有29000名员工接受每年两次的内部调研。基于这些调研，公司以之衡量公司整体士气。去年有84%的员工表示“他们对公司的未来持乐观态度”。据报道，4月份这一数字降至67%左右，目前降至52%。在大约一年的时间里，这个数字下降了32%。'}
2018-11-19 16:34:20,666 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:10:35', 'info': '中国央行今日未开展逆回购操作，因今日无逆回购到期，当日实现零投放零回笼。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:11:43', 'info': '今日有1200亿元国库现金定存到期。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:13:04', 'info': '麦格理集团：镍价格处于不可持续的低位，2019年供应缺口将超过其他金属。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:13:53', 'info': '【格上理财：前10月私募股票策略表现垫底】据格上研究中心数据显示，截至10月末，今年以来仅程序化期货、主观期货、阿尔法策略、套利策略、债券策略获得正收益。其中，程序化期货表现领跑各策略，今年以来平均收益为5.19%；而股票策略无论是10月表现，还是今年以来的表现都排名垫底。（中证报）'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:15:17', 'info': '【摩根士丹利上调中国人民保险集团股价目标 因A股发行影响有限】摩根士丹利将中国人民保险集团的股价目标从3港元上调至3.4港元，称A股发行的稀释效应低于预期。摩根士丹利分析师在研报中称，由于中国人民保险集团A股发行规模缩小，稀释影响限制在5%以下，远低于此前的模型预测。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:17:56', 'info': '【江苏省副省长缪瑞林接受纪律审查和监察调查】江苏省副省长缪瑞林涉嫌严重违纪违法，目前正接受中央纪委国家监委纪律审查和监察调查。 （新华社）'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:21:32', 'info': '港股恒指高开涨0.81％，国企指数涨0.6％，腾讯控股开盘涨逾4%。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:26:15', 'info': '上证综指开盘集合竞价持平，报2632.14；深证成指下跌0.24%，报7889.92；创业板指下跌0.24%，报1382.34。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:26:34', 'info': '独角兽概念股集体高开，皖新传媒、佳都科技、神思电子、城市传媒、贤丰控股涨停。消息面上，上交所昨日表示，正加速推进科创板和注册制试点的方案与制度设计，目前并无所谓的“首批挂牌企业名单”。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:28:44', 'info': '【工信部：2019年起未完成产能置换的落后产能将不再视为合规产能】11月14日，在昆明举办的2018国际铝业周上，工业和信息化部原材料司副司长余薇在致辞中透露，工信部将继续严格落实产能置换政策，2019年起未完成产能置换的落后产能，将不再视为合规产能。余薇表示，下一步，将进一步推动铝工业的转型升级，一方面继续严管严控，严格落实产能置换政策。2019年起未完成产能置换的落后产能，将不再视为合规产能。另一方面，将指导氧化铝项目的高质量发展，指导、规范氧化铝项目建设。（中证网）'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:30:05', 'info': '【工信部：前三季度铜材产量1249万吨同比增长12%】2018年前三季度，主要铜产品产量平稳增长，精炼铜、铜材产量661万吨、1249万吨，分别同比增长11.2%、12%；铜现货均价51075元/吨，同比增长7%，涨幅比1－8月回落1.6个百分点；铜工业实现利润251.8亿元，其中，铜矿采选、铜冶炼和铜压延加工行业实现利润52.8亿元、92.2亿元、106.8亿元；未锻轧铜及铜材累计进口量399万吨，同比增长16.1%，铜精矿进口实物量1499万吨，同比增长19.5%。'}
2018-11-19 16:34:20,667 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:34:07', 'info': '深圳10月份新建商品住宅价格环比下跌0.5%。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:35:03', 'info': '国家统计局：广州10月新建商品住宅价格环比+0.2%（前值+0.4%），同比+4.7%（前值+4.3%）。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:35:10', 'info': '国家统计局：上海10月新建商品住宅价格环比+0.1%（前值-0.1%），同比-0.4%（前值-0.2%）。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:44:57', 'info': '北京排查出7557所校外培训机构存在问题，三成已完成整改。未来还将探索建立校外培训机构信用分级评定、动态管理机制，完善校外培训机构白名单、黑名单制度，建立中小学生课外负担动态监测机制，争取社会各方支持，促进校外培训机构规范发展。（央视）'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:46:45', 'info': '创投概念高开高走，日出东方、凤竹纺织、弘业股份、汉鼎宇佑、德美化工、顺利办、赫美集团、钱江水利等个股均有拉升。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:48:40', 'info': '券商股早盘活跃，国盛金控一度触及涨停，山西证券、华鑫股份、锦龙股份、国投资本等多只个股冲高。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:53:25', 'info': '【科创概念股走高 报道称最快一季度首批企业将挂牌】华金资本、鲁信创投涨停，张江高科涨7.3%，大众公用、创业黑马、九鼎投资均有上涨，消息面，上海证券交易所11月13日就科创板举行的研讨会上透露，预计本月底下月初将会推出设立科创板的征求意见稿，科创板最快明年一季度首批企业可在科创板挂牌。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:54:45', 'info': '【国家邮政局：13日邮政、快递企业投递量达2.5亿件创新高】据国家邮政局监控平台数据显示，本周二（13日）,邮政、快递企业投递量达2.5亿件，创行业日投递量新纪录。目前，电商集中促销活动产生的邮、快件已进入投递高峰。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:57:13', 'info': '【中金：油价下跌利好航空板块 维持板块推荐评级】中金称，考虑航空业偏紧的供需将对票价形成支撑，短期油价回调亦有助提振板块投资情绪，且如果未来油价持续维持在低位，将会利好公司盈利表现；维持板块推荐评级。南方航空受益油价下跌的程度最高，其次依序为东方航空、中国国航、吉祥航空及春秋航空。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 09:58:21', 'info': '香港股市医药板块走低，石药集团一度跌近7%领跌。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:01:51', 'info': '【预告：国家市场监督管理总局介绍中国《反垄断法》实施十周年有关情况及展望】国务院新闻办公室将于2018年11月16日（星期五）上午10时举行新闻发布会，请国家市场监督管理总局副局长甘霖介绍中国《反垄断法》实施十周年有关情况及展望，并答记者问。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:02:18', 'info': '【中兴通讯意大利举办全球无线用户大会暨5G论坛】记者获悉，11月14日至15日，中兴通讯在其欧洲首个5G外场所在地意大利拉奎拉，举办全球无线用户大会暨5G论坛。来自全球行业各领先运营商、产业伙伴、政府、咨询机构等嘉宾专家齐聚一堂，共话5G发展，加速推动5G商用落地。'}
2018-11-19 16:34:20,668 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:04:11', 'info': '【土地管理法修正案已报送国务院 民进中央曾建议“全面修订”】自然资源部一位司局级官员上周透露，将全力配合全国人大常委会做好《土地管理法(修正案)》的送审工作。目前，修正案草案已报国务院审议并提请全国人大常委会进行一审，将全力配合全国人大常委会做好审议的各项工作。同时超前谋划《土地管理法实施条例》等配套法规的修改完善工作。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:10:19', 'info': '【海南板块表现抢眼 深改委会议审议通过多项发展方案】海南板块早盘表现强势，海南矿业涨停，海汽集团、海马汽车、海南瑞泽、欣龙控股均有上涨，消息面，国家主席习近平14日主持召开中央全面深化改革委员会会议，审议通过了包括《海南省创新驱动发展战略实施方案》在内的多份发展方案。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:10:37', 'info': '【发改委：10月份共审批核准固定资产投资项目918亿元】发改委发言人孟玮：10月份，我委共审批核准固定资产投资项目9个，其中审批6个，核准3个，总投资918亿元。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:14:08', 'info': '【发改委：10月当月全社会用电量同比增长6.7%】今年1—10月，全国全社会用电量5.66万亿千瓦时，同比增长8.7%，增速较去年同期提高2个百分点。其中，一产、二产、三产和居民生活用电量同比分别增长9.8%、7.2%、13.1%和11.1%，三产和居民生活用电继续保持两位数以上较快增长。10月当月，全社会用电量同比增长6.7%。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:16:14', 'info': '【中铁总拟建全国煤炭交易中心 计划年底挂牌】从多个独立消息源获悉，中国铁路总公司（中铁总）即将挂牌设立一个全国性的煤炭交易中心。该煤炭交易中心由中铁总的全资子公司中国铁路投资有限公司（中铁投）与秦皇岛港合作设立。（财新）'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:17:05', 'info': '【习近平离京出席亚太经合组织第二十六次领导人非正式会议】国家主席习近平今天乘专机离开北京，应巴布亚新几内亚独立国总督达达埃和总理奥尼尔、文莱达鲁萨兰国苏丹哈桑纳尔、菲律宾共和国总统杜特尔特邀请，对上述三国进行国事访问，并在巴新同建交太平洋岛国领导人会晤；应巴布亚新几内亚独立国总理奥尼尔邀请，出席在巴新莫尔斯比港举行的亚太经合组织第二十六次领导人非正式会议。 （央视）'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:20:19', 'info': '【发改委：乡村振兴省级规划编制基本完成】截至目前，河北、山西、内蒙古、江苏、安徽、山东、河南、湖南、广西、海南、重庆、四川、甘肃和新疆等14个省（区、市）已印发实施省级乡村振兴战略规划；北京、天津、辽宁、吉林、浙江、福建、江西、湖北、贵州、云南、西藏、陕西、青海和宁夏等14个省（区、市）的乡村振兴战略规划已提交省级党委政府审议，将于近期印发实施；黑龙江、上海、广东等3个省（市）以及新疆生产建设兵团已编制完成乡村振兴战略规划初稿或送审稿。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:20:31', 'info': '军工板块走强，湖南天雁直线封板，西仪股份、北化股份、长春一东、长城军工集体拉升。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:21:08', 'info': '【建设银行出台26条举措支持民营和小微企业发展】建设银行近日出台《进一步加大支持民营和小微企业发展的通知》，提出了进一步加大支持民营和小微企业发展的26条举措和工作要求。'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:26:12', 'info': '华为在中国以外地区正在开发自己的语音助手，与亚马逊的Alexa、谷歌助手竞争。（CNBC）'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:26:21', 'info': '【贵州：17种抗癌药纳入医保】贵州省人力资源社会保障厅近日下发《关于将17种抗癌药纳入贵州省基本医疗保险、工伤保险和生育保险药品目录乙类范围的通知》，于日前正式在贵州省落地实施执行。按照政策规定，17种抗癌药品纳入贵州省医保药品目录乙类范围，按照特殊药品管理制度对其实行“五定管理”。（新华社）'}
2018-11-19 16:34:20,669 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:26:42', 'info': '【发改委：将研究新时代支持东北地区全面振兴、全方位振兴的政策措施】国家发展改革委新闻发言人孟玮在新闻发布会上透露，下一步，发改委将研究新时代支持东北地区全面振兴、全方位振兴的政策措施，支持东北地区以深化改革创新为导向，以高质量发展为引领，瞄准方向、保持定力，扬长避短、发挥优势，一以贯之、久久为功，重塑环境、重振雄风，形成对国家重大战略的坚强支撑。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:29:54', 'info': '【发改委：支持发行创业投资类企业债券】发改委：支持发行创业投资类企业债券。我委支持符合条件的企业发行创业投资基金类债券，募集资金用于出资设立或增资创业投资基金，推动大众创业、万众创新。债券募集资金设立或增资的创业投资基金以股权形式最终投向未上市成长性创业企业。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:31:48', 'info': '【巴西官员：巴西对中国大豆出口料创纪录，或继续攀升】巴西农业部官员周三表示，巴西对中国的大豆出口今年可能创出最高纪录，并可能会进一步增长。今年巴西的大豆出口约有80%都进入了中国，粮食贸易商Agribrasil预测，对华大豆出口料达到创纪录的8,300万吨。（路透）'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:35:48', 'info': '【发改委：协调推进民营企业违约债券处置 助力民营企业纾困】发改委：对因现金流紧张发生债券违约，但符合经济结构优化升级方向、有前景的民营企业，督促省级发展改革部门组织各方力量，在严格防止违规举债、严格防范国有资产流失前提下，对民营企业进行必要的财务支持和救助，按照市场化、法治化原则化解处置违约债券风险，助推区域内产业龙头、就业大户、新兴行业等重点民营企业纾困。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:36:15', 'info': '【中国中车：中车电动获法国20辆“新巴客”订单】中国中车消息，自从9月份参加汉诺威车展以来，中车电动的新能源巴士得到了越来越多的关注。11月份，中车电动获法国20辆“新巴客”订单。据悉，该批车为法国量身定制，结合多项智能辅助驾驶功能，是符合欧盟标准的一款高端纯电动客车。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:36:33', 'info': '【发改委印发湘南湘西承接产业转移示范区总体方案】发改委近日印发《湘南湘西承接产业转移示范区总体方案》。到2020年，示范区在承接产业转移、促进区域协同联动、优化营商环境、加快新旧动能转换和进一步扩大开放等方面取得阶段性成果。引进60家以上的世界500强企业，形成若干产值过百亿的龙头企业，优势产业集群不断发展壮大，综合实力和科技创新能力显著增强，城镇格局进一步优化，生态环境质量总体改善，初步探索出一批科学有效的承接产业转移新路径、新模式等。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:36:56', 'info': '【海通证券：2019年军工板块景气度将上行】海通证券发布最新研报称，2019年军工板块将是少有的逆经济周期，景气度上行的板块。上游零部件企业有望将板块的高景气度反映在利润表中，主机厂龙头则有望在预收款、存货等指标有所映射。建议重点关注军工板块。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:37:32', 'info': '【国家林草局与贵州省政府共建长江经济带林业草原改革试验区】昨日，国家林业和草原局、贵州省政府在贵阳签署战略合作框架协议，支持贵州省实施“大扶贫、大数据、大生态”战略行动，建设长江经济带林业草原改革试验区。（中国绿色时报）'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:39:51', 'info': '【工信部：推进工业互联网平台建设及推广】工信部消息，11月15日，2018中国（黄石）工业互联网创新发展大会在湖北省黄石市举行。工信部信软司巡视员李颖参加会议并致辞。下一步，工信部信软司将围绕工业互联网平台发展，重点抓培训宣贯、项目实施、平台遴选、试点示范、公共支撑、生态建设，推进平台建设及推广。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:48:06', 'info': '【发改委回应支持长江三角洲区域一体化发展是否有具体支持措施或规划：正在会同有关方面积极谋划】发改委：推动长江三角洲一体化发展，是习近平总书记亲自谋划、亲自部署的重大战略，事关国家发展全局，意义十分重大。贯彻落实好习近平总书记关于长三角一体化发展的重要指示精神，需要从国家战略层面做好顶层设计。目前，国家发改委正在会同有关方面积极谋划。初步考虑，推动长三角一体化发展，重点体现贯彻新发展理念、落实高质量发展要求、坚持一体化发展导向；扎实推进更高起点的深化改革和更高层次的对外开放，推动长三角地区实现更高质量的一体化发展，引领长江经济带发展，同时服务国家发展大局。'}
2018-11-19 16:34:20,670 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:49:40', 'info': '【FF逾250名小股东美国集体起诉：要求收回中国公司控制权】当地时间11月14日，FF（法拉第未来）小股东们在洛杉矶高等法院提起针对恒大健康的集体诉讼，指控恒大健康、夏海钧和彭建军企图通过欺诈手段夺走FF控制权和核心知识产权的非法行径。据FF内部透露，此次诉讼的原告股东代表们均为FF老员工，并在股权激励计划中获得了FF母公司的相应股权，此次诉讼涉及超过250名已行权的小股东。要求FF从恒大收回FF中国的资产、业务经营权和管理权。 （证券时报）'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:50:47', 'info': '【煤炭工业协会：中国2019年煤炭消费增长可能会放缓】彭博援引中国煤炭工业协会副秘书长张宏在北京表示，中国明年煤炭消费可能会继续增长，但增速会低于2018年的水平。煤炭价格可能会相对稳定。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:55:42', 'info': '大众中国CEO海兹曼：大众及合作伙伴明年在中国投资40亿欧元。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:56:22', 'info': '【发改委：粤港澳大湾区基础设施等领域专项规划正在编制】发改委新闻发言人孟玮今日表示，将积极推进粤港澳大湾区基础设施互联互通。强化内地与港澳交通联系，构建高效便捷的现代综合交通运输体系。上月底正式开通的港珠澳大桥，就是“一国两制”下粤港澳三地首次合作建设的大型基础设施，也是大湾区建设的一个标志性工程。将注重发挥好大桥的示范效应，促进粤港澳三地基础设施互联互通，目前有关方面正在编制包括交通、能源在内的基础设施领域的专项规划。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 10:59:15', 'info': '【华为将于12月底在南非正式上线提供云服务】华为公司14日在南非开普敦举行的2018年非洲通信展上宣布，华为旗下云服务品牌华为云将于12月底在南非正式上线提供云服务。华为云是全球首个在非洲用本地数据中心提供服务的公有云服务提供商。（新华社）'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:01:40', 'info': '【央行八日不操作，隔夜拆息再次转升】隔夜SHIBOR报2.3390%，上升1.4个基点。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:02:02', 'info': '天然气板块开始走强，龙头东方环宇直线封板，厚普股份、长春燃气、新疆火炬、贵州燃气集体拉升。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:06:37', 'info': '【发改委：“十三五”后三年基建任务仍然艰巨】发改委发言人孟玮：我委将坚持既不过度依赖投资也不能不要投资、防止大起大落的原则，进一步加强重大项目储备，进一步加快推进重大项目前期工作，进一步加大资金筹措力度，进一步调动民间投资积极性，通过四个“进一步”，聚焦精准补短板，不断提高投资效益，确保有限资金投向关键领域，为保持经济平稳健康可持续发展和提高长期综合竞争实力发挥积极作用。'}
2018-11-19 16:34:20,671 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:06:50', 'info': 'ST板块急速跳水，*ST天马、*ST龙力、*ST慧业快速下挫一度跌停，*ST尤夫、*ST信通纷纷跟跌。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:09:19', 'info': '中国发改委：尚未考虑出台汽车购置税减免政策。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:13:13', 'info': '【发改委：目前已落实的资源量能够足额保障民生用气的需求】 发改委： 近期各地已经陆续开始供暖。为做好今年供暖季天然气保供工作，最近一段时间，我委、能源局会同各有关部门、地方和企业，在天然气增产增供、管网联通、储气能力建设、调峰预案准备等方面，逐项推动任务落实，力争把每项工作落到实处。可以说，目前已落实的资源量能够足额保障民生用气的需求。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:13:33', 'info': '大众汽车正研究在中国发展大功率充电网络。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:21:14', 'info': '国家能源局就实行可再生能源电力配额制征求意见。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:29:21', 'info': '【湖南投入近290亿元兴建水利】经历了今年夏秋的旱涝极端灾害后，湖南省迎来冬春水利建设。从湖南省水利厅了解到，这次冬春水利建设总投资接近290亿元，建设重点为重大水利工程、防洪薄弱环节治理等。（新华社）'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:31:37', 'info': '上证综指上午收盘上涨0.69%，报2,650.51；深证成指上涨0.26%，报7929.16；创业板指上涨0.35%，报1390.53。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:40:42', 'info': '北京燃气蓝天在香港市场一度跌71%，创历史最大跌幅。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:43:43', 'info': '大众汽车中国CEO海兹曼：公司预计中国汽车市场2020年将再次增长。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:44:07', 'info': '润都股份：拟在湖北投资约10.8亿元建设高端原料药生产项目。'}
2018-11-19 16:34:20,672 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:44:53', 'info': '中国海景在香港一度跌93%，创历史最大跌幅。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:45:06', 'info': '【多家上市公司回应科创板设立】上海贝岭表示，上海贝岭科技园规模较小，未定位为科技企业孵化园。创业黑马表示，公司业务聚焦于帮助创新创业企业成长的综合性创业服务，科创板的开立对科创行业是重大的鼓舞和利好，公司作为国内领先的创业企业服务公司，将会高度关注科创板动态，继续为创业企业提供更优质的服务。天奥电子则表示公司暂未参与投资创投类公司。梦百合表示，公司未参与投资科创企业。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:47:01', 'info': '天誉置业在香港市场一度下跌71.5%。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 11:52:44', 'info': '【人社部拟规定：领取社保待遇无须提供任何证明材料】从人社部获悉，《社会保险经办管理服务条例（征求意见稿）》日前公开向社会征求意见。其中拟规定，申请领取各项社会保险待遇时，社会保险经办机构不得要求申请人提供证明材料。（新京报）'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:00:46', 'info': '【国家电网董事长舒印彪调任华能集团董事长】据财新，15日上午，中组部相关负责人在中国华能集团有限公司干部会议上，宣布由国家电网公司董事长舒印彪担任华能集团董事长，华能集团原董事长曹培玺到龄退休。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:01:28', 'info': '【姜超：建议积极推进减税】海通证券首席经济学家姜超表示，从政策选择来看，减税有三种方式：一是增加财政赤字率，这在中国要实现有难度，毕竟3%的财政赤字率在中国是一条红线，不会轻易超越；二是减少财政支出，需要政府削减开支，与大家一起共克时艰，这一种也不容易，毕竟很多支出是刚性的；三是出售资产筹资，加大混改力度，引进社会资本。目前我们在上游行业的国企，在去产能之后盈利高企，其实是推进混改的最佳时机。（中证网）'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:01:48', 'info': '香港恒生指数上午收盘上涨0.4%，报25,760.92。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:02:51', 'info': '【国家电网：董事长舒印彪离任 总经理寇伟暂时主持全面工作】国家电网公告，11月15日上午，国家电网有限公司召开领导班子扩大会议。中共中央组织部有关干部局负责同志宣布了党中央有关决定：舒印彪同志不再担任国家电网有限公司董事长、党组书记职务，另有任用；国家电网有限公司董事、总经理、党组副书记寇伟同志暂时主持全面工作。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:06:14', 'info': '【贵州：光纤接入用户占比已超九成】贵州省通信管理局消息，近年来，贵州省信息通信行业持续推动全光网省建设，光纤接入网络已基本覆盖贵州省行政村和住宅小区，光纤用户占比超过九成，100M以上高速率带宽用户占比超六成。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:06:29', 'info': '【格力电器：中央空调中标中山大学扩建项目】近日，格力中央空调中标中山大学珠海校区扩建工程项目。这是格力继中标上海交通大学、清华大学五道口金融学院等高校后再次服务高等院校。'}
2018-11-19 16:34:20,673 - MongoDBStudy.py - 90 : {'date': '2018-11-15 12:15:20', 'info': '【工信部、应急管理部与广东省签战略协议：共推安全产业发展】14日，2018中国安全产业大会在广东佛山开幕。会上，工业和信息化部、应急管理部与广东省政府共同签署《共同推进安全产业发展战略合作协议》。据了解，上述战略合作协议，着眼于共同推进粤港澳大湾区安全产业的发展。会上，一共13个安全产业项目签约落地，签约金额达70亿元，涉及半导体芯片制造、人工智能、工业互联网、网络及密码信息安全、军民融合等多个领域。（21）'}
